EAN/Barcode,Product Name,Category,Price,Offer Type,Product URL,Image URL
4008429127113,2x55g Chicken & Turkey Protein Strips Crave Dog Treats,Dog/Dog Treats & Dog Bones/CRAVE,4.49,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/crave/snacks/1898899?activeVariant=1898899.5033538,https://media.zooplus.com/bilder/3/800/408633_fop_mobile_uk_3.jpg
4008429153150,8x50g CRAVE High Protein Meaty Rolls with Beef Dog Snacks,Dog/Dog Treats & Dog Bones/CRAVE,26.89,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/crave/snacks/1893967?activeVariant=1893967.5018612,https://media.zooplus.com/bilder/6/800/440539_fop_uk_6.jpg
4008429150456,50g Beef High Protein Meaty Rolls Crave Dog Treats,Dog/Dog Treats & Dog Bones/CRAVE,3.09,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/crave/snacks/1893967?activeVariant=1893967.5033367,https://media.zooplus.com/bilder/6/800/440539_fop_uk_6.jpg
5025730006202,100g Duck Superfood Bars Country Hunter Natures Menu Dog Treats,Dog/Dog Treats & Dog Bones/Poultry,2.89,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chicken/other_poultry_chews/1873124?activeVariant=1873124.4961001,https://media.zooplus.com/bilder/7/800/new_project_50__7.jpg
5025730002051,60g Chicken with Lamb Dog Treat Nature's Menu Dog Treats,Dog/Dog Treats & Dog Bones/Poultry,2.09,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chicken/other_poultry_chews/1873120?activeVariant=1873120.4960920,https://media.zooplus.com/bilder/2/800/new_project_46__2.jpg
7613034916693,120g Sticks Adventuros Purina Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,0.99,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/soft_chew_sticks/672009?activeVariant=672009.3464959,https://media.zooplus.com/bilder/8/800/12332720_fop_la199400_buffalo_8.jpg
5025730006202,2x100g Duck Superfood Bars Country Hunter Natures Menu Dog Treats,Dog/Dog Treats & Dog Bones/Poultry,5.19,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chicken/other_poultry_chews/1873124?activeVariant=1873124.4960925,https://media.zooplus.com/bilder/7/800/new_project_50__7.jpg
5025730002051,3x60g Chicken with Lamb Dog Treat Nature's Menu Dog Treats,Dog/Dog Treats & Dog Bones/Poultry,5.59,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chicken/other_poultry_chews/1873120?activeVariant=1873120.4960921,https://media.zooplus.com/bilder/2/800/new_project_46__2.jpg
5025730008701,120g Chicken with Lamb Dog Treat Nature's Menu Dog Treats,Dog/Dog Treats & Dog Bones/Poultry,3.89,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chicken/other_poultry_chews/1873120?activeVariant=1873120.5194104,https://media.zooplus.com/bilder/1/800/443124_pla_naturesmenu_lamb_chicken_120g_1.jpg
5025730008701,3x120g Chicken with Lamb Dog Treat Nature's Menu Dog Treats,Dog/Dog Treats & Dog Bones/Poultry,10.49,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chicken/other_poultry_chews/1873120?activeVariant=1873120.5194105,https://media.zooplus.com/bilder/1/800/443124_pla_naturesmenu_lamb_chicken_120g_1.jpg
7613034916693,2x120g Sticks Adventuros Purina Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,1.79,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/soft_chew_sticks/672009?activeVariant=672009.3464960,https://media.zooplus.com/bilder/8/800/12332720_fop_la199400_buffalo_8.jpg
5998749141854,76g Chicken Protein Bars CRAVE Dog Treats,Dog/Dog Treats & Dog Bones/CRAVE,3.09,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/crave/snacks/1898894?activeVariant=1898894.5033415,https://media.zooplus.com/bilder/1/800/425686_fop_mobile_uk_1.jpg
4011905315911,100g Chickies Premio Trixie Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,2.29,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/soft_chew_sticks/638330?activeVariant=638330.4677590,https://media.zooplus.com/bilder/2/800/73018_pla_trixie_chickies_2.jpg
8714265971716,33g Yarrah Organic Dog Chew Sticks,Dog/Dog Treats & Dog Bones/Chew Sticks,2.29,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/soft_chew_sticks/137933?activeVariant=137933.1079300,https://media.zooplus.com/bilder/5/800/26574_pla_bio_yarrah_snack_chewsticks_33g_hs_01_5.jpg
5025716014726,140g Extra Large Yakers Dog Chew,Dog/Dog Treats & Dog Bones/Chew Sticks,9.49,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/695314?activeVariant=695314.2475500,https://media.zooplus.com/bilder/6/800/80568_pla_kennelpak_yakers_xlarge_chew_6.jpg
5998749141854,7x76g Chicken Protein Bars CRAVE Dog Treats,Dog/Dog Treats & Dog Bones/CRAVE,16.19,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/crave/snacks/1898894?activeVariant=1898894.5033491,https://media.zooplus.com/bilder/1/800/425686_fop_mobile_uk_1.jpg
4011905315911,2x100g Chickies Premio Trixie Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,4.09,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/soft_chew_sticks/638330?activeVariant=638330.4677591,https://media.zooplus.com/bilder/2/800/73018_pla_trixie_chickies_2.jpg
8714265971716,3x33g Yarrah Organic Dog Chew Sticks,Dog/Dog Treats & Dog Bones/Chew Sticks,6.19,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/soft_chew_sticks/137933?activeVariant=137933.420810,https://media.zooplus.com/bilder/5/800/26574_pla_bio_yarrah_snack_chewsticks_33g_hs_01_5.jpg
5025716014726,3x140g Extra Large Dog Chew Yakers Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,26.99,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/695314?activeVariant=695314.2475501,https://media.zooplus.com/bilder/6/800/80568_pla_kennelpak_yakers_xlarge_chew_6.jpg
5025716014757,35g Small Yakers Dog Chews,Dog/Dog Treats & Dog Bones/Chew Sticks,2.59,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/695313?activeVariant=695313.2475494,https://media.zooplus.com/bilder/9/800/80567_pla_kennelpak_yakers_small_chew_9.jpg
5025716014757,3x35g Small Dog Chew Yakers Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,6.99,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/695313?activeVariant=695313.2475495,https://media.zooplus.com/bilder/9/800/80567_pla_kennelpak_yakers_small_chew_9.jpg
4048422122470,10 Sticks Chicken Small Dogs Twisted Sticks 8in1 Delights Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,3.39,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/1906006?activeVariant=1906006.5050215,https://media.zooplus.com/bilder/3/800/405497_pla_8in1_delights_twisted_sticks_kleine_hundehuhn_hs_01_3.jpg
4048422122470,10 Sticks Chicken Small Dogs Twisted Sticks 8in1 Delights Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,6.09,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/1906006?activeVariant=1906006.5050211,https://media.zooplus.com/bilder/3/800/405497_pla_8in1_delights_twisted_sticks_kleine_hundehuhn_hs_01_3.jpg
4048422122593,35 Sticks Chicken Small Dogs Twisted Sticks 8in1 Delights Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,8.69,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/1906006?activeVariant=1906006.5050217,https://media.zooplus.com/bilder/3/800/405498_pla_8in1_delights_twisted_sticks_kleine_hundehuhn_hs_01_3.jpg
4048422122593,2x35 Sticks Chicken Small Dogs Twisted Sticks 8in1 Delights Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,15.99,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/1906006?activeVariant=1906006.5050213,https://media.zooplus.com/bilder/3/800/405498_pla_8in1_delights_twisted_sticks_kleine_hundehuhn_hs_01_3.jpg
4048422122531,10 Sticks Small Dogs Chicken Twisted Sticks Pro Dental 8in1 Dog Treats,Dog/Dog Treats & Dog Bones/Chew Sticks,3.39,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/chew_sticks/hard_chew_sticks/1906036?activeVariant=1906036.5050065,https://media.zooplus.com/bilder/3/800/405499_pla_8in1_prodental_twisted_sticks_kleine_hunde_huhn_hs_01_3.jpg
